sample_id,length,frame,residue
0,22,0,0
0,22,0,2
0,22,0,3
0,22,0,4
0,22,0,5
0,22,0,6
0,22,0,8
0,22,0,9
0,22,0,10
0,22,0,13
0,22,0,14
0,22,0,15
0,22,0,16
0,22,0,17
0,22,0,18
0,22,0,20
0,22,0,21
0,22,1000,0
0,22,1000,1
0,22,1000,3
0,22,1000,4
0,22,1000,5
0,22,1000,6
0,22,1000,7
0,22,1000,8
0,22,1000,9
0,22,1000,11
0,22,1000,12
0,22,1000,13
0,22,1000,14
0,22,1000,15
0,22,1000,16
0,22,1000,17
0,22,1000,18
0,22,1000,19
0,22,2000,0
0,22,2000,1
0,22,2000,2
0,22,2000,3
0,22,2000,4
0,22,2000,5
0,22,2000,6
0,22,2000,8
0,22,2000,9
0,22,2000,10
0,22,2000,11
0,22,2000,12
0,22,2000,13
0,22,2000,14
0,22,2000,15
0,22,2000,16
0,22,2000,17
0,22,2000,18
0,22,2000,19
0,22,2000,20
0,22,2000,21
0,22,3000,1
0,22,3000,2
0,22,3000,3
0,22,3000,4
0,22,3000,5
0,22,3000,6
0,22,3000,7
0,22,3000,8
0,22,3000,9
0,22,3000,10
0,22,3000,11
0,22,3000,12
0,22,3000,13
0,22,3000,21
0,22,4000,0
0,22,4000,1
0,22,4000,2
0,22,4000,3
0,22,4000,4
0,22,4000,5
0,22,4000,6
0,22,4000,7
0,22,4000,8
0,22,4000,9
0,22,4000,11
0,22,4000,12
0,22,4000,13
0,22,4000,14
0,22,4000,18
0,22,4000,19
0,22,4000,20
0,22,5000,1
0,22,5000,2
0,22,5000,3
0,22,5000,4
0,22,5000,6
0,22,5000,7
0,22,5000,8
0,22,5000,9
0,22,5000,10
0,22,5000,11
0,22,5000,12
0,22,5000,13
0,22,5000,14
0,22,5000,16
0,22,5000,19
0,22,5000,21
0,22,6000,0
0,22,6000,1
0,22,6000,3
0,22,6000,4
0,22,6000,5
0,22,6000,6
0,22,6000,7
0,22,6000,9
0,22,6000,10
0,22,6000,11
0,22,6000,12
0,22,6000,13
0,22,6000,14
0,22,6000,15
0,22,6000,16
0,22,6000,17
0,22,6000,20
1,22,0,2
1,22,0,3
1,22,0,4
1,22,0,5
1,22,0,6
1,22,0,8
1,22,0,9
1,22,0,10
1,22,0,11
1,22,0,13
1,22,0,18
1,22,0,20
